Calories/s,Fat/s,Sat_Fat/s,Trans_Fat/s,Mono_Fat/s,Poly_Fat/s,Carbs/s,Fiber/s,Sugars/s,Protein/s,Cholesterol/s,Sodium/s,Recipe,HealthyLabel,ModelPrediction,Timestamp,ModelName,key,ID
408.8851765,20.20402589,6.924679298,0.3330675,6.286348049,1.169160948,42.90465936,3.217316812,2.896603241,14.09182882,30.00351436,454.1721192,Asparagus-Arugula Pesto Pizza,healthy,unhealthy,2/22/2020 15:36,David,408.885176520.204025896.924679297999990.33306756.2863480491.16916094842.904659363.2173168122.89660324114.09182882,18
187.804935,6.598999683,2.648992215,0.001889968,2.67619849,0.733865329,25.48785504,2.682243492,4.391878671,8.132395576,8.4375,463.5329929,Asparagus Bruschetta,healthy,healthy,2/22/2020 15:36,David,187.8049356.5989996832.6489922150.0018899682.676198490.73386532925.487855042.6822434924.3918786718.132395576,19
116.7328671,5.547805286,1.316365587,0,1.362377633,2.741579055,15.61530273,6.524292363,4.399135108,3.971371381,5.537416667,595.3700451,"Asparagus, Celeriac, and Jicama Slaw",healthy,healthy,2/22/2020 15:36,David,116.7328670999995.5478052861.31636558701.3623776332.74157905515.615302736.5242923634.3991351083.971371381,20
835.6957969,34.96707242,20.97466711,0,9.737990769,1.894355565,101.5244695,6.44125,7.692669488,29.38644604,115.0148816,381.4616095,Asparagus Cream Pasta,healthy,healthy,2/22/2020 15:36,David,835.695796934.9670724220.9746671109.7379907691.894355565101.52446956.441257.69266948829.38644604,21
161.6356653,7.320451328,2.976130814,0.116369,1.832551525,1.924208097,19.89603083,2.085781691,3.672769206,5.650587125,31.5775,403.3462065,Asparagus Crepes With Mushroom Dill Sauce,healthy,unhealthy,2/22/2020 15:36,David,161.63566537.3204513282.9761308140.1163691.8325515251.92420809719.896030832.085781690999993.6727692065.650587125,22
210.2568109,7.297380405,2.149790131,0,3.981167955,0.752094542,26.90504795,2.636020961,2.583599337,8.005871208,8.58,184.6046789,Asparagus Farfalle,healthy,healthy,2/22/2020 15:36,David,210.25681097.2973804052.14979013103.9811679550.75209454226.905047952.6360209612.5835993378.005871208,23
496.7532728,19.87880604,9.391844916,0.532362333,6.998699947,1.527159671,62.51717593,4.782818255,4.123031157,16.54475301,39.56333333,503.2215447,Asparagus Fettuccine,healthy,healthy,2/22/2020 15:36,David,496.753272819.878806049.3918449160.5323623336.9986999471.52715967162.517175934.7828182554.12303115716.54475301,24
441.1084262,15.46432881,5.09820809,0,7.888290205,1.536413414,59.54280111,4.112732602,3.481442139,16.13028642,11.41068306,120.1466705,"asparagus, goat cheese and lemon pasta",healthy,healthy,2/22/2020 15:36,David,441.108426215.464328815.0982080907.8882902051.53641341459.542801114.112732601999993.48144213916.13028642,25
415.6039438,15.98217179,5.029401793,0,3.70970877,5.349921934,54.73736142,13.08880448,9.955004042,18.39930796,20.18486047,480.4745383,"Asparagus, Halloumi and Chickpea Farro Salad recipes",healthy,healthy,2/22/2020 15:36,David,415.603943815.982171795.02940179303.709708775.34992193454.7373614213.088804489.95500404218.39930796,26
101.5271625,3.950959048,0.67561734,0,2.540637798,0.436855544,14.24265989,2.691121396,3.243868377,3.759775228,1.59375,331.3296316,Asparagus-New Potato Hash,healthy,healthy,2/22/2020 15:36,David,101.52716253.9509590480.6756173402.5406377980.43685554414.242659892.6911213963.2438683773.759775228,27
425.4090163,19.15491904,2.722304914,0,13.2443949,2.334460791,53.16480957,6.656427076,5.858671579,11.53353692,0,613.8375499,Asparagus Pasta Salad,healthy,healthy,2/22/2020 15:36,David,425.40901629999919.154919042.722304914013.24439492.33446079153.164809576.6564270765.85867157911.53353692,28
355.75825,9.9092225,5.5211555,0.316004875,2.3319235,0.865183625,54.87956625,4.15625,6.61916,12.815425,23.99375,489.8914305,Asparagus Pasta with Sun-Dried Chili,healthy,healthy,2/22/2020 15:36,David,355.758259.90922255.52115550.3160048752.33192350.86518362554.879566254.156256.6191612.815425,29
1084.19283,46.72530937,26.02110253,0.40975,16.26494781,1.935845432,93.51051685,1.706776045,4.713535416,48.28065612,103.375,1599.019708,Asparagus risotto,healthy,unhealthy,2/22/2020 15:36,David,1084.1928346.7253093726.021102530.4097516.264947811.9358454319999993.510516851.7067760454.71353541648.28065612,30
498.401396,17.02514975,7.754318599,0.310317333,6.288407733,1.534217251,69.87793773,8.974225943,6.786327039,18.29031166,31.79333333,172.7117984,"Asparagus, Snap Pea, and Avocado Pasta",healthy,healthy,2/22/2020 15:36,David,498.40139617.025149757.754318598999990.3103173336.2884077331.5342172509999969.877937738.974225942999996.78632703918.29031166,31
222.6370088,8.649671185,0.937038596,0.0207375,4.5129532,2.812152559,31.55691844,4.648833989,2.798549125,6.352874615,0,197.742688,Asparagus Stir-Fry,healthy,healthy,2/22/2020 15:36,David,222.63700888.6496711850.9370385960.02073754.51295322.81215255931.556918444.6488339892.7985491256.352874615,32
213.4493223,7.489932987,1.087427287,0,5.010917996,1.00351999,33.49619986,7.704780182,3.180512452,7.414882197,0,13.81357321,Asparagus Tabbouleh,healthy,healthy,2/22/2020 15:36,David,213.44932237.4899329871.08742728705.0109179961.0035199933.496199867.7047801823.1805124527.414882197,33
372.3342779,15.07878641,6.562769537,0.008575,5.264180543,2.314774311,46.04533619,7.130391327,8.775846679,17.14025473,33.76373385,1130.431882,Asparagus Three-Cheese Burritos,healthy,healthy,2/22/2020 15:36,David,372.33427789999915.078786416.5627695370.0085755.2641805432.31477431146.045336197.1303913278.7758466789999917.14025473,34
